,km_driven,seats,selling_price_USD,mileage_kmpl,max_power_bhp,engine_CC,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,year_cat_2001 - 2005,year_cat_2006 - 2010,year_cat_2011 - 2015,year_cat_2016 - 2020
0,145500,5,5400.0,23.4,74.0,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1,120000,5,4440.0,21.14,103.52,1498,1,0,0,1,0,1,0,1,0,0,0,0,1,0
2,140000,5,1896.0,17.7,78.0,1497,0,0,1,1,0,1,0,0,0,1,0,1,0,0
3,127000,5,2700.0,23.0,90.0,1396,1,0,0,1,0,1,0,0,0,0,0,1,0,0
4,120000,5,1560.0,16.1,88.2,1298,0,0,1,1,0,1,0,0,0,0,0,1,0,0
5,45000,5,5280.0,20.14,81.86,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
6,175000,5,1152.0,17.3,57.5,1061,0,1,0,1,0,1,0,0,0,0,0,1,0,0
7,5000,4,540.0,16.1,37.0,796,0,0,1,1,0,1,0,1,0,0,1,0,0,0
8,90000,5,4200.0,23.59,67.1,1364,1,0,0,1,0,1,0,0,0,0,0,0,1,0
9,169000,5,2400.0,20.0,68.1,1399,1,0,0,1,0,1,0,0,0,0,0,0,1,0
10,68000,5,6000.0,19.01,108.45,1461,1,0,0,1,0,1,0,1,0,0,0,0,1,0
11,100000,5,1104.0,17.3,60.0,993,0,0,1,1,0,1,0,1,0,0,1,0,0,0
12,140000,5,3360.0,19.3,73.9,1248,1,0,0,1,0,1,0,1,0,0,0,1,0,0
13,90000,5,2160.0,18.9,67.0,1061,0,0,1,1,0,1,0,1,0,0,0,1,0,0
14,40000,5,4800.0,18.15,82.0,1198,0,0,1,1,0,1,0,0,0,0,0,0,0,1
15,70000,7,9336.0,24.52,88.5,1248,1,0,0,1,0,1,0,1,0,0,0,0,0,1
16,53000,5,6000.0,23.0,90.0,1396,1,0,0,1,0,1,0,1,0,0,0,0,1,0
17,80000,5,1800.0,19.7,46.3,796,0,0,1,1,0,1,0,1,0,0,1,0,0,0
18,100000,5,8160.0,22.54,88.73,1396,1,0,0,1,0,1,0,0,0,0,0,0,0,1
19,100000,5,2088.0,21.0,64.1,1461,1,0,0,1,0,1,0,1,0,0,0,0,1,0
20,50000,5,11400.0,25.5,98.6,1498,1,0,0,1,0,1,0,0,0,0,0,0,0,1
21,40000,5,6300.0,26.59,74.0,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
22,72000,5,7200.0,21.5,88.8,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
23,35000,5,6000.0,20.3,83.81,1199,0,0,1,1,0,1,0,0,0,0,0,0,0,1
24,45000,5,6900.0,21.4,83.1,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
25,28000,5,3300.0,24.7,47.3,796,0,0,1,1,0,1,0,0,0,0,0,0,0,1
26,70000,7,3600.0,18.2,73.8,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
27,120000,5,2640.0,18.9,67.0,1061,0,0,1,1,0,1,0,0,0,0,0,1,0,0
28,25000,8,3059.9880000000003,16.8,34.2,796,0,0,1,1,0,1,0,0,0,0,0,0,0,1
29,70000,5,8040.0,24.3,88.5,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
30,35000,5,1800.0,14.0,35.0,796,0,0,1,1,0,1,0,1,0,0,0,0,1,0
31,2388,5,8760.0,18.6,81.83,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
32,16200,5,7800.0,24.3,88.5,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
33,10000,4,3960.0,33.44,40.3,796,0,0,0,1,0,1,0,1,0,0,0,0,0,1
34,15000,5,4392.0,23.95,67.1,998,0,0,1,1,0,1,0,0,0,0,0,0,0,1
35,5000,5,13788.0,17.0,121.3,1591,0,0,1,1,0,1,0,0,0,0,0,0,0,1
36,42000,5,1800.0,20.63,67.0,1198,0,0,1,1,0,1,0,0,0,0,0,0,0,1
37,60000,7,5100.0,13.93,138.03,2179,1,0,0,1,0,1,0,1,0,0,0,0,1,0
38,76000,4,1800.0,16.1,37.0,796,0,0,1,1,0,1,0,0,0,0,0,0,1,0
39,5000,5,25200.0,16.0,160.77,1368,0,0,1,1,0,0,0,0,0,0,0,0,0,1
40,28900,5,11100.0,17.8,117.3,1497,0,0,1,0,0,1,0,0,0,0,0,0,0,1
41,86300,5,5100.0,16.8,116.3,1497,0,0,1,0,0,1,0,0,0,0,0,0,1,0
42,23300,5,8100.0,18.5,83.14,1197,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,32600,5,9839.988,24.3,88.5,1248,1,0,0,0,0,1,0,0,0,0,0,0,0,1
44,10300,5,4680.0,23.95,67.05,998,0,0,1,0,0,1,0,0,0,0,0,0,0,1
45,77000,7,18000.0,12.55,168.5,2982,1,0,0,0,0,1,0,0,0,0,0,0,1,0
46,99000,7,8400.0,12.99,100.0,2494,1,0,0,0,0,1,0,0,0,0,0,0,1,0
47,27800,5,17400.0,14.8,120.7,2143,1,0,0,0,0,0,0,1,0,0,0,0,1,0
48,49800,5,5100.0,24.7,98.63,1498,1,0,0,0,0,1,0,0,0,0,0,0,1,0
49,151000,7,13080.0,13.5,175.56,2477,1,0,0,0,0,1,0,0,0,0,0,0,1,0
50,54700,5,7200.0,26.0,98.6,1498,1,0,0,0,0,1,0,0,0,0,0,0,1,0
51,64000,5,10200.0,20.65,103.25,1462,0,0,1,0,0,1,0,0,0,0,0,0,0,1
52,63000,5,6300.0,27.3,98.6,1498,1,0,0,0,0,1,0,0,0,0,0,0,1,0
53,127700,7,19800.0,11.36,171.5,2755,1,0,0,0,0,0,0,1,0,0,0,0,0,1
54,99000,7,11400.0,12.99,100.6,2494,1,0,0,0,0,1,0,0,0,0,0,0,0,1
55,33900,5,21000.0,17.68,174.33,1968,1,0,0,0,0,0,0,1,0,0,0,0,1,0
56,25000,5,19080.0,14.28,138.03,1798,0,0,1,0,0,0,0,0,0,0,0,0,0,1
57,50000,5,20279.988,18.53,187.74,1968,1,0,0,0,0,0,0,0,0,0,0,0,1,0
58,59000,5,17100.0,14.84,170.0,2143,1,0,0,0,0,0,0,0,0,0,0,0,1,0
59,120000,5,3180.0,21.12,88.8,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
60,110000,5,2280.0,20.36,78.9,1197,0,0,1,1,0,1,0,0,0,1,0,0,1,0
61,60000,5,5100.0,21.27,88.76,1396,1,0,0,1,0,1,0,0,0,0,0,0,1,0
62,147000,5,7560.0,26.59,74.0,1248,1,0,0,1,0,1,0,1,0,0,0,0,1,0
63,25000,5,7200.0,18.16,86.8,1196,0,0,1,1,0,1,0,0,0,1,0,0,0,1
64,30000,5,7800.0,21.4,83.1,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
65,40000,5,6480.0,22.0,108.495,1498,1,0,0,1,0,1,0,0,0,0,0,0,0,1
66,135000,5,7560.0,25.1,98.6,1498,1,0,0,1,0,1,0,0,0,0,0,0,1,0
67,30000,5,5376.0,20.51,67.0,998,0,0,1,1,0,0,0,0,0,0,0,0,0,1
68,80000,5,6000.0,21.66,108.62,1498,1,0,0,1,0,1,0,0,0,0,0,0,0,1
69,70000,5,8940.0,24.3,88.5,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
70,9850,5,12300.0,24.3,88.5,1248,1,0,0,1,0,0,0,0,0,0,0,0,0,1
71,60000,5,2820.0,20.36,78.9,1197,0,0,1,1,0,1,0,1,0,0,0,0,1,0
72,70000,5,7560.0,25.2,74.0,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
73,78000,7,20400.0,12.55,168.5,2982,1,0,0,1,0,1,0,1,0,0,0,0,1,0
74,120000,5,5400.0,22.9,74.0,1248,1,0,0,1,0,1,0,1,0,0,0,0,1,0
75,120000,7,5400.0,16.02,93.7,1373,0,0,1,1,0,1,0,1,0,0,0,0,1,0
76,170000,5,5400.0,20.54,103.6,1598,1,0,0,1,0,1,0,0,0,0,0,0,1,0
77,140000,8,14400.0,12.99,100.6,2494,1,0,0,1,0,1,0,0,0,0,0,0,0,1
78,90000,5,7320.0,22.77,98.59,1498,1,0,0,1,0,1,0,0,0,0,0,0,1,0
79,30000,5,30000.0,15.71,189.0,1998,0,0,1,1,0,0,0,1,0,0,0,0,0,1
80,10000,5,5819.988,23.1,67.04,998,0,0,1,0,0,1,0,0,0,0,0,0,0,1
81,49000,5,3300.0,19.02,67.05,1198,0,0,1,0,0,1,0,0,0,0,0,0,0,1
